DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AD,2010,239,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AD,2012,303,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AD,2016,310,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AD,2018,335,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AD,2019,301,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AD,2021,386,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2010,20107,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2011,20012,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2012,20870,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2013,20442,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2014,20656,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2015,22418,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2016,21388,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2017,22232,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2018,21804,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2019,21937,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2020,27605,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AL,2021,30507,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2010,27921,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2011,27963,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2013,27196,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2014,27714,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2015,27878,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2016,28226,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,AM,2017,27157,
